Date,Open,High,Low,Close,Adj Close,Volume
2018-07-24,304.420013,307.720001,292.549988,297.429993,297.429993,9590800
2011-07-08,29.889999,29.889999,28.59,28.809999,28.809999,1240600
2016-09-26,206.5,211,206.5,208.990005,208.990005,2394400
2013-08-30,166.369995,169.210007,163.960007,169,169,11028400
2010-08-19,18.540001,19.25,18.33,18.790001,18.790001,579100
2012-02-15,33.099998,34.41,32.27,33.599998,33.599998,2761800
2017-03-16,262.399994,265.75,259.059998,262.049988,262.049988,7132200
2013-11-13,140.839996,142.369995,136.339996,138.699997,138.699997,12658300
2015-02-20,210.779999,217.600006,209.809998,217.110001,217.110001,5982100
2018-02-21,336.029999,339.690002,333.170013,333.299988,333.299988,3219600
2018-08-29,310.269989,311.850006,303.690002,305.01001,305.01001,7447400
2016-05-09,215.720001,216.149994,206.800003,208.919998,208.919998,4776400
2011-04-28,27.07,27.690001,26.719999,27.66,27.66,1600000
2018-10-26,308.25,339.899994,306.649994,330.899994,330.899994,27425500
2016-06-22,199.470001,205.949997,195.75,196.660004,196.660004,23742400
2011-09-29,25.719999,25.82,23.549999,24.120001,24.120001,929600
2011-07-21,28.91,29.16,28.1,28.700001,28.700001,1011500
2014-10-20,226.720001,232.399994,225.509995,230.470001,230.470001,3494400
2019-05-23,194.339996,199.470001,186.220001,195.490005,195.490005,26547100
2012-03-16,34.900002,35.889999,34.830002,35.32,35.32,729300
2015-03-02,202.699997,203.339996,195.830002,197.330002,197.330002,7922100
2020-01-28,568.48999,576.809998,558.080017,566.900024,566.900024,11788500
2018-08-20,291.700012,308.5,288.200012,308.440002,308.440002,17402300
2013-05-15,81.800003,86.879997,78.110001,84.839996,84.839996,16878700
2013-08-26,165.149994,173,160.25,164.220001,164.220001,24171100
2012-08-02,26.84,26.85,25.52,26.1,26.1,1305100
2015-12-02,237,238.600006,231.229996,231.990005,231.990005,2981500
2016-03-14,212.649994,216.720001,210.639999,215.149994,215.149994,4065700
2016-05-24,216.600006,218.740005,215.179993,217.910004,217.910004,3013800
2010-09-10,20.75,20.93,19.76,20.17,20.17,386600
2011-06-28,27.790001,28.25,27.67,28.110001,28.110001,889200
2017-06-02,339.769989,342.880005,335.929993,339.850006,339.850006,5590200
2012-07-30,29.51,30.25,27.209999,27.35,27.35,2065200
2012-08-03,26.9,27.549999,26.74,27.27,27.27,1209500
2012-05-08,32.5,32.73,29.370001,30.190001,30.190001,3097200
2019-11-07,329.140015,341.5,328.019989,335.540009,335.540009,14467300
2016-08-05,230,232,227.399994,230.029999,230.029999,3205200
2013-07-26,128.139999,130.679993,126.610001,129.389999,129.389999,9633100
2016-07-01,206.139999,218.240005,206,216.5,216.5,5400000
2018-11-16,345.190002,355.700012,345.119995,354.309998,354.309998,7206200
2011-11-23,31.76,32.049999,31.25,31.450001,31.450001,451800
2019-04-02,288.299988,289.440002,283.880005,285.880005,285.880005,5478900
